Combination: ('년도 및 분기',)
년도 및 분기,count
2016년 상반기,법학,12
2016년 상반기,화학공학,12
2016년 하반기,영어교육학과,12
2019년 하반기,경제학과,12
2021년 하반기,중국어교육전공,12
2018년 하반기,산업경영공학과,11
2015년 하반기,경영,11
2019년 상반기,전기전자,11
2015년 상반기,전자공학과,11
2019년 상반기,신소재화학과,11
2019년 하반기,경영학부,11
2016년 상반기,컴퓨터공학과,11
2019년 하반기,응용화학생명공학과,11
2015년 하반기,전자전기컴퓨터,11
2017년 상반기,컴퓨터공학,11
2016년 하반기,식품자원경제학,11
2017년 상반기,산업공학,11
2017년 하반기,휴먼ICT융합학과,11
2017년 상반기,기계설계공학과,11
2017년 상반기,경제학과,11
2016년 하반기,환경공학과/화학공학(복수전공),11
2017년 하반기,환경공학과,11
2016년 하반기,응용통계학과,11
2016년 하반기,컴퓨터학부,11
2020년 상반기,경영학과 마케팅경영전공,11
2022년 하반기,전자공학과,10
2018년 하반기,기계공학과,10
2016년 상반기,경영,10
2022년 상반기,경영학과,10
2016년 상반기,환경공학과,10
2018년 상반기,법학과,10
2020년 상반기,경영학부,10
2015년 하반기,고분자공학과,10
2017년 상반기,도시공,10
2019년 상반기,경영학과,10
2016년 상반기,식품생명공학과,10
2017년 상반기,전자공학,10
2018년 하반기,관광경영,10
2016년 상반기,기계공학과,10
2018년 상반기,행정학과,10
2018년 상반기,기계공학과,10
2015년 하반기,국제통상학과,10
2017년 하반기,회계세무학과,10
2015년 하반기,화학공학부,9
2016년 하반기,컴퓨터공학부,9
2016년 상반기,금융경제,9
2018년 상반기,화학공학,9
2016년 하반기,도시계획부동산,9
2016년 하반기,산업경제학과,9
2016년 상반기,경제통상학부,9
2015년 하반기,경제학부,9
2015년 하반기,기계공/ 바이오융합기술,9
2022년 상반기,산업공학과,9
2017년 상반기,0,9
2023년 상반기,경제학과,9
2016년 상반기,전기생체공학부,9
2017년 하반기,경제학과,9
2017년 하반기,전기공학과,9
2019년 상반기,0,9
2021년 상반기,전기공학과,9
2022년 하반기,신소재 공학,9
2015년 상반기,법학과,9
2015년 하반기,기계공학,9
2018년 하반기,경제학과,9
2017년 하반기,화학공학,9
2016년 하반기,기계공학,9
2016년 상반기,도시계획부동산,9
2015년 상반기,행정학과,9
2022년 상반기,기계공학과,9
2021년 상반기,화학공학부,9
2015년 상반기,화학공학과,9
2022년 상반기,수학과,9
2023년 하반기,컴퓨터공학과,8
2019년 상반기,영어영문학,8
2019년 하반기,응용통계학과,8
2017년 상반기,도시계획부동산,8
2023년 상반기,영어영문학,8
2015년 하반기,신문방송학,8
